CREATE		
LAST	Len	"Peter Wießner"
LAST	Lfr	"Peter Wießner"
LAST	Les	"Peter Wießner"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1043"
CREATE		
LAST	Lde	"Erich Lifka"
LAST	Len	"Erich Lifka"
LAST	Lfr	"Erich Lifka"
LAST	Les	"Erich Lifka"
LAST	Dde	"österreicher Schriftsteller"
LAST	Den	"Austrian journalist, writer and translator (1924-2007)"
LAST	Des	"periodista austriaco"
LAST	Dfr	"Journaliste, écrivain et traducteur autrichien (1924-2007)"
LAST	Sdewiki	"Erich Lifka"
LAST	Seswiki	"Erich Lifka"
LAST	Swikidatawiki	"Q1352752"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"103869115X"
LAST	P728	"book_author_1044"
CREATE		
LAST	Lde	"Michelangelo Signorine"
LAST	Len	"Michelangelo Signorine"
LAST	Lfr	"Michelangelo Signorine"
LAST	Les	"Michelangelo Signorine"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1045"
CREATE		
LAST	Lde	"Corinna Genschel"
LAST	Len	"Corinna Genschel"
LAST	Lfr	"Corinna Genschel"
LAST	Les	"Corinna Genschel"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"1049295668"
LAST	P728	"book_author_1046"
CREATE		
LAST	Lde	"J. D. Salinger"
LAST	Len	"J. D. Salinger"
LAST	Lfr	"J. D. Salinger"
LAST	Les	"J. D. Salinger"
LAST	Dde	"US-amerikanischer Schriftsteller"
LAST	Den	"American author (1919–2010)"
LAST	Des	"escritor estadounidense"
LAST	Dfr	"écrivain américain"
LAST	Sdewiki	"J. D. Salinger"
LAST	Senwiki	"J. D. Salinger"
LAST	Sfrwiki	"J. D. Salinger"
LAST	Seswiki	"J. D. Salinger"
LAST	Swikidatawiki	"Q79904"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1047"
CREATE		
LAST	Lde	"Katrin Janitz"
LAST	Len	"Katrin Janitz"
LAST	Lfr	"Katrin Janitz"
LAST	Les	"Katrin Janitz"
