qid,Lde,Len,Lfr,Les,Dde,Den,Dfr,Des,P48,P2,P47,P153
,"""München, Blütenstraße4""","""Munich, Blütenstraße4""","""Munich, Blütenstraße4""","""Múnich, Blütenstraße4""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",NA,Q16200,Q10427,"""Blütenstraße4"""
,"""München, Baaderstraße 22""","""Munich, Baaderstraße 22""","""Munich, Baaderstraße 22""","""Múnich, Baaderstraße 22""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1321148/11.5798978,Q16200,Q10427,"""Baaderstraße 22"""
,"""München, Utzschneiderstraße 1""","""Munich, Utzschneiderstraße 1""","""Munich, Utzschneiderstraße 1""","""Múnich, Utzschneiderstraße 1""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.13431/11.5753181876365,Q16200,Q10427,"""Utzschneiderstraße 1"""
,"""München, Dultstraße""","""Munich, Dultstraße""","""Munich, Dultstraße""","""Múnich, Dultstraße""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.135346/11.57206,Q16200,Q10427,"""Dultstraße"""
,"""München, Klenzestraße 17""","""Munich, Klenzestraße 17""","""Munich, Klenzestraße 17""","""Múnich, Klenzestraße 17""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1329006/11.5782249,Q16200,Q10427,"""Klenzestraße 17"""
,"""München, Maistraße 28""","""Munich, Maistraße 28""","""Munich, Maistraße 28""","""Múnich, Maistraße 28""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1274814/11.5614022,Q16200,Q10427,"""Maistraße 28"""
,"""München, Blumenstraße 20""","""Munich, Blumenstraße 20""","""Munich, Blumenstraße 20""","""Múnich, Blumenstraße 20""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1944054/11.6467576,Q16200,Q10427,"""Blumenstraße 20"""
,"""München, Blumenstraße""","""Munich, Blumenstraße""","""Munich, Blumenstraße""","""Múnich, Blumenstraße""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1333415/11.5733565,Q16200,Q10427,"""Blumenstraße"""
,"""München, Salvatorstraße""","""Munich, Salvatorstraße""","""Munich, Salvatorstraße""","""Múnich, Salvatorstraße""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1414251/11.5750836,Q16200,Q10427,"""Salvatorstraße"""
,"""München, Frauenstraße 26""","""Munich, Frauenstraße 26""","""Munich, Frauenstraße 26""","""Múnich, Frauenstraße 26""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.13437495/11.5789351897292,Q16200,Q10427,"""Frauenstraße 26"""
,"""München, Theresienstraße 40""","""Munich, Theresienstraße 40""","""Munich, Theresienstraße 40""","""Múnich, Theresienstraße 40""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1481328/11.5752379,Q16200,Q10427,"""Theresienstraße 40"""
,"""München, Maistraße 10""","""Munich, Maistraße 10""","""Munich, Maistraße 10""","""Múnich, Maistraße 10""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.13024575/11.562427515254,Q16200,Q10427,"""Maistraße 10"""
,"""München, Müllerstraße 17""","""Munich, Müllerstraße 17""","""Munich, Müllerstraße 17""","""Múnich, Müllerstraße 17""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1314212/11.5719201,Q16200,Q10427,"""Müllerstraße 17"""
,"""München, Baaderstraße 47""","""Munich, Baaderstraße 47""","""Munich, Baaderstraße 47""","""Múnich, Baaderstraße 47""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.12921985/11.5771424964258,Q16200,Q10427,"""Baaderstraße 47"""
,"""München, Corneliusstraße 1""","""Munich, Corneliusstraße 1""","""Munich, Corneliusstraße 1""","""Múnich, Corneliusstraße 1""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1328724/11.5745919,Q16200,Q10427,"""Corneliusstraße 1"""
,"""München, Klenzestraße 45""","""Munich, Klenzestraße 45""","""Munich, Klenzestraße 45""","""Múnich, Klenzestraße 45""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1302686/11.57393,Q16200,Q10427,"""Klenzestraße 45"""
,"""München, Rumfordstraße 2""","""Munich, Rumfordstraße 2""","""Munich, Rumfordstraße 2""","""Múnich, Rumfordstraße 2""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1332364/11.5749452,Q16200,Q10427,"""Rumfordstraße 2"""
,"""München, Müllerstraße 1""","""Munich, Müllerstraße 1""","""Munich, Müllerstraße 1""","""Múnich, Müllerstraße 1""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.133062/11.5747583424439,Q16200,Q10427,"""Müllerstraße 1"""
,"""München, Geyerstraße 18""","""Munich, Geyerstraße 18""","""Munich, Geyerstraße 18""","""Múnich, Geyerstraße 18""","""Straße in München""","""Street in Munich""","""Rue en Munich""","""Calle en Múnich",@48.1250792/11.5656341,Q16200,Q10427,"""Geyerstraße 18"""
